method,rank,n_params,frob_err,fit_time_s,nnz_at_1em3,nnz_at_1em4
mSVD,2,32258,9.135092e-01,0.211,7456,17672
mSVD,4,64516,8.179250e-01,0.213,5200,10856
mSVD,8,129032,5.865617e-01,0.232,5156,11840
mSVD,16,258064,2.247123e-01,0.231,9384,22630
HOSVD,2-2,636,9.173414e-01,2.524,868,1860
HOSVD,4-4,1300,8.264565e-01,2.778,1736,3720
HOSVD,8-8,2808,6.050297e-01,3.378,3292,7564
HOSVD,16-16,7216,2.714846e-01,4.428,5616,14342
CP,2,1136,9.173414e-01,5.473,868,1860
CP,4,2272,8.264565e-01,3.138,1695,3625
CP,8,4544,6.050293e-01,18.604,3308,7060
CP,16,9088,2.871869e-01,125.834,5308,12427
INDSCAL,2,630,9.173414e-01,4.159,868,1860
INDSCAL,4,1260,8.336098e-01,4.244,1716,3873
INDSCAL,8,2520,6.243481e-01,77.755,3350,7529
INDSCAL,16,5040,2.881901e-01,188.031,5080,11582
Waring,2,506,9.999951e-01,150.022,131,2833
Waring,4,1012,9.595548e-01,322.840,439,947
Waring,8,2024,9.595422e-01,621.943,449,983
Waring,16,4048,6.088938e-01,1268.363,128372,645605
PCP,2,1514,9.999993e-01,150.279,0,1944
PCP,4,3028,9.762698e-01,152.994,238308,2071539
PCP,8,6056,4.053547e-01,236.151,237576,1237669
PCP,16,12112,1.844942e-01,304.067,209836,1335187
