block_distance,count,sum_frob_lesser,max_frob_lesser,frac_total_lesser,sum_frob_greater,max_frob_greater,frac_total_greater
0,16,4.676201e+06,5.495961e+05,1.501471e-01,4.676201e+06,5.495961e+05,1.501471e-01
1,30,6.265094e+06,4.553982e+05,2.011645e-01,6.265094e+06,4.553982e+05,2.011645e-01
2,28,4.044844e+06,4.779824e+05,1.298750e-01,4.044844e+06,4.779824e+05,1.298750e-01
3,26,1.081451e+06,1.540121e+05,3.472407e-02,1.081451e+06,1.540121e+05,3.472407e-02
4,24,3.992685e+05,2.898893e+04,1.282002e-02,3.992685e+05,2.898893e+04,1.282002e-02
5,22,5.377470e+05,7.145106e+04,1.726640e-02,5.377470e+05,7.145106e+04,1.726640e-02
6,20,1.667976e+06,3.542206e+05,5.355668e-02,1.667976e+06,3.542206e+05,5.355668e-02
7,18,2.716380e+06,3.944163e+05,8.721966e-02,2.716380e+06,3.944163e+05,8.721966e-02
8,16,3.771634e+06,4.653911e+05,1.211026e-01,3.771634e+06,4.653911e+05,1.211026e-01
9,14,3.099606e+06,3.872974e+05,9.952457e-02,3.099606e+06,3.872974e+05,9.952457e-02
10,12,1.788712e+06,3.627970e+05,5.743337e-02,1.788712e+06,3.627970e+05,5.743337e-02
11,10,7.202263e+05,2.347574e+05,2.312559e-02,7.202263e+05,2.347574e+05,2.312559e-02
12,8,1.427582e+05,2.532987e+04,4.583793e-03,1.427582e+05,2.532987e+04,4.583793e-03
13,6,1.258632e+05,3.009743e+04,4.041315e-03,1.258632e+05,3.009743e+04,4.041315e-03
14,4,8.222556e+04,2.073641e+04,2.640163e-03,8.222556e+04,2.073641e+04,2.640163e-03
15,2,2.414046e+04,1.207023e+04,7.751208e-04,2.414046e+04,1.207023e+04,7.751208e-04
