I,J,frob_lesser,frob_greater
0,0,1.923089e+05,1.923089e+05
0,1,2.593187e+05,2.593187e+05
0,2,3.054421e+05,3.054421e+05
0,3,5.875096e+04,5.875096e+04
0,4,1.605961e+04,1.605961e+04
0,5,8.799191e+03,8.799191e+03
0,6,2.014445e+04,2.014445e+04
0,7,1.111510e+04,1.111510e+04
0,8,2.090605e+05,2.090605e+05
0,9,1.954201e+05,1.954201e+05
0,10,2.591199e+05,2.591199e+05
0,11,5.613214e+04,5.613214e+04
0,12,1.174225e+04,1.174225e+04
0,13,1.442966e+04,1.442966e+04
0,14,2.037637e+04,2.037637e+04
0,15,1.207023e+04,1.207023e+04
1,0,2.593187e+05,2.593187e+05
1,1,4.044814e+05,4.044814e+05
1,2,4.553982e+05,4.553982e+05
1,3,9.235924e+04,9.235924e+04
1,4,2.325705e+04,2.325705e+04
1,5,1.514943e+04,1.514943e+04
1,6,3.012069e+04,3.012069e+04
1,7,1.565989e+04,1.565989e+04
1,8,3.069035e+05,3.069035e+05
1,9,2.946623e+05,2.946623e+05
1,10,3.872974e+05,3.872974e+05
1,11,8.417893e+04,8.417893e+04
1,12,1.688554e+04,1.688554e+04
1,13,2.187403e+04,2.187403e+04
1,14,3.009743e+04,3.009743e+04
1,15,2.073641e+04,2.073641e+04
2,0,3.054421e+05,3.054421e+05
2,1,4.553982e+05,4.553982e+05
2,2,5.495961e+05,5.495961e+05
2,3,1.104812e+05,1.104812e+05
2,4,3.884787e+04,3.884787e+04
2,5,2.490029e+04,2.490029e+04
2,6,2.898893e+04,2.898893e+04
2,7,1.616631e+04,1.616631e+04
2,8,3.542206e+05,3.542206e+05
2,9,3.372398e+05,3.372398e+05
2,10,4.653911e+05,4.653911e+05
2,11,1.024607e+05,1.024607e+05
2,12,2.230684e+04,2.230684e+04
2,13,3.294123e+04,3.294123e+04
2,14,2.532987e+04,2.532987e+04
2,15,1.840453e+04,1.840453e+04
3,0,5.875096e+04,5.875096e+04
3,1,9.235924e+04,9.235924e+04
3,2,1.104812e+05,1.104812e+05
3,3,2.690621e+04,2.690621e+04
3,4,2.729976e+04,2.729976e+04
3,5,1.621489e+04,1.621489e+04
3,6,2.545448e+04,2.545448e+04
3,7,4.187022e+03,4.187022e+03
3,8,7.145106e+04,7.145106e+04
3,9,6.771375e+04,6.771375e+04
3,10,9.392610e+04,9.392610e+04
3,11,2.156465e+04,2.156465e+04
3,12,1.415473e+04,1.415473e+04
3,13,2.165706e+04,2.165706e+04
3,14,1.939679e+04,1.939679e+04
3,15,1.243296e+04,1.243296e+04
4,0,1.605961e+04,1.605961e+04
4,1,2.325705e+04,2.325705e+04
4,2,3.884787e+04,3.884787e+04
4,3,2.729976e+04,2.729976e+04
4,4,4.524999e+05,4.524999e+05
4,5,2.610717e+05,2.610717e+05
4,6,4.779824e+05,4.779824e+05
4,7,4.372183e+04,4.372183e+04
4,8,2.182434e+04,2.182434e+04
4,9,1.955536e+04,1.955536e+04
4,10,3.162275e+04,3.162275e+04
4,11,1.765080e+04,1.765080e+04
4,12,2.403667e+05,2.403667e+05
4,13,3.696433e+05,3.696433e+05
4,14,3.627970e+05,3.627970e+05
4,15,2.347574e+05,2.347574e+05
5,0,8.799191e+03,8.799191e+03
5,1,1.514943e+04,1.514943e+04
5,2,2.490029e+04,2.490029e+04
5,3,1.621489e+04,1.621489e+04
5,4,2.610717e+05,2.610717e+05
5,5,1.745356e+05,1.745356e+05
5,6,2.863303e+05,2.863303e+05
5,7,2.837194e+04,2.837194e+04
5,8,1.288516e+04,1.288516e+04
5,9,1.330667e+04,1.330667e+04
5,10,2.076452e+04,2.076452e+04
5,11,1.193342e+04,1.193342e+04
5,12,1.425434e+05,1.425434e+05
5,13,2.240652e+05,2.240652e+05
5,14,2.180262e+05,2.180262e+05
5,15,1.442963e+05,1.442963e+05
6,0,2.014445e+04,2.014445e+04
6,1,3.012069e+04,3.012069e+04
6,2,2.898893e+04,2.898893e+04
6,3,2.545448e+04,2.545448e+04
6,4,4.779824e+05,4.779824e+05
6,5,2.863303e+05,2.863303e+05
6,6,5.381528e+05,5.381528e+05
6,7,5.322706e+04,5.322706e+04
6,8,3.084059e+04,3.084059e+04
6,9,3.043642e+04,3.043642e+04
6,10,2.642871e+04,2.642871e+04
6,11,1.718576e+04,1.718576e+04
6,12,2.564132e+05,2.564132e+05
6,13,3.944163e+05,3.944163e+05
6,14,4.052994e+05,4.052994e+05
6,15,2.628004e+05,2.628004e+05
7,0,1.111510e+04,1.111510e+04
7,1,1.565989e+04,1.565989e+04
7,2,1.616631e+04,1.616631e+04
7,3,4.187022e+03,4.187022e+03
7,4,4.372183e+04,4.372183e+04
7,5,2.837194e+04,2.837194e+04
7,6,5.322706e+04,5.322706e+04
7,7,1.486287e+04,1.486287e+04
7,8,1.803168e+04,1.803168e+04
7,9,1.589114e+04,1.589114e+04
7,10,1.826916e+04,1.826916e+04
7,11,3.941752e+03,3.941752e+03
7,12,2.341892e+04,2.341892e+04
7,13,3.545905e+04,3.545905e+04
7,14,3.911747e+04,3.911747e+04
7,15,2.540690e+04,2.540690e+04
8,0,2.090605e+05,2.090605e+05
8,1,3.069035e+05,3.069035e+05
8,2,3.542206e+05,3.542206e+05
8,3,7.145106e+04,7.145106e+04
8,4,2.182434e+04,2.182434e+04
8,5,1.288516e+04,1.288516e+04
8,6,3.084059e+04,3.084059e+04
8,7,1.803168e+04,1.803168e+04
8,8,3.194709e+05,3.194709e+05
8,9,2.837910e+05,2.837910e+05
8,10,3.860985e+05,3.860985e+05
8,11,8.273547e+04,8.273547e+04
8,12,1.498719e+04,1.498719e+04
8,13,1.959729e+04,1.959729e+04
8,14,2.410013e+04,2.410013e+04
8,15,1.527753e+04,1.527753e+04
9,0,1.954201e+05,1.954201e+05
9,1,2.946623e+05,2.946623e+05
9,2,3.372398e+05,3.372398e+05
9,3,6.771375e+04,6.771375e+04
9,4,1.955536e+04,1.955536e+04
9,5,1.330667e+04,1.330667e+04
9,6,3.043642e+04,3.043642e+04
9,7,1.589114e+04,1.589114e+04
9,8,2.837910e+05,2.837910e+05
9,9,2.906334e+05,2.906334e+05
9,10,3.681173e+05,3.681173e+05
9,11,8.132535e+04,8.132535e+04
9,12,1.477248e+04,1.477248e+04
9,13,1.904551e+04,1.904551e+04
9,14,2.445744e+04,2.445744e+04
9,15,1.672079e+04,1.672079e+04
10,0,2.591199e+05,2.591199e+05
10,1,3.872974e+05,3.872974e+05
10,2,4.653911e+05,4.653911e+05
10,3,9.392610e+04,9.392610e+04
10,4,3.162275e+04,3.162275e+04
10,5,2.076452e+04,2.076452e+04
10,6,2.642871e+04,2.642871e+04
10,7,1.826916e+04,1.826916e+04
10,8,3.860985e+05,3.860985e+05
10,9,3.681173e+05,3.681173e+05
10,10,5.140945e+05,5.140945e+05
10,11,1.138067e+05,1.138067e+05
10,12,2.274686e+04,2.274686e+04
10,13,3.461193e+04,3.461193e+04
10,14,2.345811e+04,2.345811e+04
10,15,1.735693e+04,1.735693e+04
11,0,5.613214e+04,5.613214e+04
11,1,8.417893e+04,8.417893e+04
11,2,1.024607e+05,1.024607e+05
11,3,2.156465e+04,2.156465e+04
11,4,1.765080e+04,1.765080e+04
11,5,1.193342e+04,1.193342e+04
11,6,1.718576e+04,1.718576e+04
11,7,3.941752e+03,3.941752e+03
11,8,8.273547e+04,8.273547e+04
