method,rank,n_params,frob_rel_err,fit_time_s,transport_time_s,G_anh_W_per_m2_K,G_anh_pW_per_K,G_anh_rel_err_vs_dense,G_ball_W_per_m2_K,G_ball_pW_per_K,conservation_err,n_scba_iter,ballistic_collapse,error
dense,0,39366000,0.0,0.0,946.3348612785339,52581335.23720515,376.64288635733834,0.0,82350937.25394577,589.8841206986215,0.004110470120063532,8,False,
mSVD,2,146882,0.9490185346521995,2.6818041801452637,703.0939514636993,81582757.95412914,584.3816117300365,0.5515535614699142,82350937.25394577,589.8841206986215,0.0006409834987510857,5,False,
mSVD,4,293764,0.8954447597936713,2.6611592769622803,947.4271757602692,81565700.25712179,584.2594265438582,0.5512291555389807,82350937.25394577,589.8841206986215,0.0012122797046787573,8,False,
mSVD,8,587528,0.7809868081419313,2.625661849975586,943.234457731247,165677058.48974758,1186.7535358557946,2.1508720298247375,82350937.25394577,589.8841206986215,1.0,8,False,
mSVD,16,1175056,0.4926010862851034,2.6640682220458984,983.4057905673981,-140602273.33014512,-1007.1415230627013,3.673995871269901,82350937.25394577,589.8841206986215,1.0,8,False,
HOSVD,2_2,1356,0.9509256316080578,34.747249603271484,496.13087940216064,82350934.37964538,589.8841001098557,0.5661628600366173,82350937.25394577,589.8841206986215,5.6140289805605335e-09,2,True,
HOSVD,4_4,2740,0.8991769090111085,36.92300033569336,539.2310435771942,82350931.80931212,589.8840816984226,0.5661628111536202,82350937.25394577,589.8841206986215,9.285159494747421e-09,2,True,
HOSVD,8_8,5688,0.7896080746136251,40.77588486671448,951.8125109672546,68598994.43825144,491.37822670110177,0.30462633040388487,82350937.25394577,589.8841206986215,0.03647638741606483,8,False,
HOSVD,16_16,12976,0.5554846079903518,46.380993127822876,955.0640516281128,64876367.63968864,464.71285398059734,0.23382883578399236,82350937.25394577,589.8841206986215,0.03511089569805021,8,False,
CP,2,2432,0.9522293355808928,33.83578133583069,944.8447265625,79545045.70251195,569.7853710573243,0.5128000333895668,82350937.25394577,589.8841206986215,0.005686621293984668,8,False,
CP,4,4864,0.9027881640093534,37.62667179107666,940.5848872661591,75443468.38867664,540.4055557458328,0.43479559901504483,82350937.25394577,589.8841206986215,0.00805013724569333,8,False,
CP,8,9728,0.7943512972466443,35.56355381011963,956.9167153835297,76304428.59654881,546.5726592678129,0.4511694739649334,82350937.25394577,589.8841206986215,0.005963626943345869,8,False,
CP,16,19456,0.5998434060455778,625.2087800502777,892.6659202575684,66839350.47323351,478.7738038777598,0.2711611481851411,82350937.25394577,589.8841206986215,0.03082654532723634,8,False,
INDSCAL,2,1350,0.9509256316081137,34.422871589660645,638.7814257144928,82350934.44013496,589.8841005431457,0.5661628611870175,82350937.25394577,589.8841206986215,5.116555331612372e-09,2,True,
INDSCAL,4,2700,0.9027892594168749,100.35498261451721,902.405445098877,74712186.42340833,535.1673443368376,0.42088796502345155,82350937.25394577,589.8841206986215,0.015715350109273257,8,False,
INDSCAL,8,5400,0.794309997371942,107.58586263656616,925.6565823554993,69654411.7158858,498.93823650241893,0.3246984201078295,82350937.25394577,589.8841206986215,0.02536116373050188,8,False,
INDSCAL,16,10800,0.519588221412138,720.1739540100098,909.1233439445496,60656779.456043966,434.48772056476275,0.15358005235905173,82350937.25394577,589.8841206986215,0.06741823811192085,8,False,
Waring,2,1082,0.9757518626169935,1311.7603628635406,943.2778489589691,80621361.16596587,577.4950756693797,0.5332695680371454,82350937.25394577,589.8841206986215,0.007179887378901058,8,False,
Waring,4,2164,0.9757317358395537,2592.4687638282776,792.2805600166321,79397943.26037613,568.7316684811856,0.5100024162984028,82350937.25394577,589.8841206986215,0.014088064079894023,8,False,
Waring,8,4328,0.8806309976066178,4981.424659252167,806.9207735061646,73524456.16343287,526.6595696423948,0.3982995264716847,82350937.25394577,589.8841206986215,0.006963746510026859,8,False,
Waring,16,8656,0.6708356691174482,9934.090557336807,774.5994095802307,60600298.86754546,434.0831471209871,0.1525058957549315,82350937.25394577,589.8841206986215,0.053067506994710516,8,False,
