method,rank,n_params,frob_err,fit_time_s,nnz_at_1em3,nnz_at_1em4
mSVD,2,32258,9.174542e-01,0.205,3904,7776
mSVD,4,64516,8.267072e-01,0.218,2144,5216
mSVD,8,129032,6.108846e-01,0.214,2364,5172
mSVD,16,258064,2.476737e-01,0.219,3660,8908
HOSVD,2-2,636,9.214739e-01,2.788,540,822
HOSVD,4-4,1300,8.356813e-01,3.469,1404,2268
HOSVD,8-8,2808,6.296478e-01,4.141,1996,3932
HOSVD,16-16,7216,3.042606e-01,4.840,3112,5088
CP,2,1136,9.214739e-01,4.833,540,822
CP,4,2272,8.356005e-01,3.618,1039,1699
CP,8,4544,6.296475e-01,39.136,1996,3508
CP,16,9088,3.176693e-01,117.501,2849,4361
INDSCAL,2,630,9.214739e-01,3.943,540,822
INDSCAL,4,1260,8.384520e-01,4.008,1026,1449
INDSCAL,8,2520,6.371839e-01,91.784,1970,3008
INDSCAL,16,5040,3.158088e-01,170.301,2875,4472
Waring,2,506,1.000000e+00,141.272,0,0
Waring,4,1012,1.000000e+00,302.149,0,0
Waring,8,2024,8.795858e-01,642.947,810,1233
Waring,16,4048,4.706386e-01,1275.550,149779,996043
PCP,2,1514,9.999993e-01,140.141,0,2076
PCP,4,3028,9.746471e-01,147.243,257102,2282441
PCP,8,6056,4.471375e-01,248.006,235730,1273209
PCP,16,12112,1.952294e-01,317.327,218101,1279853
