block_distance,count,sum_frob_lesser,max_frob_lesser,frac_total_lesser,sum_frob_greater,max_frob_greater,frac_total_greater
0,16,3.751940e+05,3.084077e+04,5.262513e-01,3.751940e+05,3.084077e+04,5.262513e-01
1,30,1.433179e+05,1.062904e+04,2.010193e-01,1.433179e+05,1.062904e+04,2.010193e-01
2,28,1.017001e+05,9.404275e+03,1.426457e-01,1.017001e+05,9.404275e+03,1.426457e-01
3,26,2.491027e+04,2.811843e+03,3.493942e-02,2.491027e+04,2.811843e+03,3.493942e-02
4,24,1.373386e+04,2.255460e+03,1.926327e-02,1.373386e+04,2.255460e+03,1.926327e-02
5,22,7.511856e+03,5.187930e+02,1.053621e-02,7.511856e+03,5.187930e+02,1.053621e-02
6,20,8.775344e+03,8.675404e+02,1.230840e-02,8.775344e+03,8.675404e+02,1.230840e-02
7,18,4.602411e+03,4.071177e+02,6.455393e-03,4.602411e+03,4.071177e+02,6.455393e-03
8,16,1.063543e+04,1.046813e+03,1.491737e-02,1.063543e+04,1.046813e+03,1.491737e-02
9,14,3.452781e+03,4.722436e+02,4.842910e-03,3.452781e+03,4.722436e+02,4.842910e-03
10,12,6.455411e+03,9.124846e+02,9.054432e-03,6.455411e+03,9.124846e+02,9.054432e-03
11,10,3.478392e+03,4.741784e+02,4.878832e-03,3.478392e+03,4.741784e+02,4.878832e-03
12,8,3.010101e+03,5.697579e+02,4.222001e-03,3.010101e+03,5.697579e+02,4.222001e-03
13,6,2.681290e+03,5.445467e+02,3.760807e-03,2.681290e+03,5.445467e+02,3.760807e-03
14,4,1.471421e+03,4.241485e+02,2.063832e-03,1.471421e+03,4.241485e+02,2.063832e-03
15,2,2.025318e+03,1.012659e+03,2.840734e-03,2.025318e+03,1.012659e+03,2.840734e-03
