I,J,frob_lesser,frob_greater
0,0,2.564768e+04,2.564768e+04
0,1,3.174041e+03,3.174041e+03
0,2,5.949978e+03,5.949978e+03
0,3,2.306388e+03,2.306388e+03
0,4,2.008687e+02,2.008687e+02
0,5,1.711577e+02,1.711577e+02
0,6,1.666780e+02,1.666780e+02
0,7,3.219991e+02,3.219991e+02
0,8,8.242920e+02,8.242920e+02
0,9,3.085952e+02,3.085952e+02
0,10,7.740886e+02,7.740886e+02
0,11,4.741784e+02,4.741784e+02
0,12,5.108945e+02,5.108945e+02
0,13,4.210613e+02,4.210613e+02
0,14,4.241485e+02,4.241485e+02
0,15,1.012659e+03,1.012659e+03
1,0,3.174041e+03,3.174041e+03
1,1,2.204136e+04,2.204136e+04
1,2,1.062904e+04,1.062904e+04
1,3,2.346212e+03,2.346212e+03
1,4,1.286776e+02,1.286776e+02
1,5,1.573717e+02,1.573717e+02
1,6,2.417619e+02,2.417619e+02
1,7,3.178324e+02,3.178324e+02
1,8,1.632612e+02,1.632612e+02
1,9,7.165505e+02,7.165505e+02
1,10,1.740149e+02,1.740149e+02
1,11,7.294582e+02,7.294582e+02
1,12,3.361408e+02,3.361408e+02
1,13,2.058771e+02,2.058771e+02
1,14,3.750369e+02,3.750369e+02
1,15,3.115622e+02,3.115622e+02
2,0,5.949978e+03,5.949978e+03
2,1,1.062904e+04,1.062904e+04
2,2,2.502097e+04,2.502097e+04
2,3,3.514493e+03,3.514493e+03
2,4,2.073089e+02,2.073089e+02
2,5,2.559982e+02,2.559982e+02
2,6,1.643599e+02,1.643599e+02
2,7,2.844084e+02,2.844084e+02
2,8,6.981985e+02,6.981985e+02
2,9,1.971875e+02,1.971875e+02
2,10,7.032314e+02,7.032314e+02
2,11,2.516770e+02,2.516770e+02
2,12,2.976752e+02,2.976752e+02
2,13,3.750983e+02,3.750983e+02
2,14,2.185209e+02,2.185209e+02
2,15,5.445467e+02,5.445467e+02
3,0,2.306388e+03,2.306388e+03
3,1,2.346212e+03,2.346212e+03
3,2,3.514493e+03,3.514493e+03
3,3,3.084077e+04,3.084077e+04
3,4,4.290948e+03,4.290948e+03
3,5,1.674768e+03,1.674768e+03
3,6,8.761468e+02,8.761468e+02
3,7,2.255460e+03,2.255460e+03
3,8,3.811592e+02,3.811592e+02
3,9,7.533374e+02,7.533374e+02
3,10,3.241497e+02,3.241497e+02
3,11,8.432851e+02,8.432851e+02
3,12,4.722436e+02,4.722436e+02
3,13,4.173724e+02,4.173724e+02
3,14,3.891674e+02,3.891674e+02
3,15,5.697579e+02,5.697579e+02
4,0,2.008687e+02,2.008687e+02
4,1,1.286776e+02,1.286776e+02
4,2,2.073089e+02,2.073089e+02
4,3,4.290948e+03,4.290948e+03
4,4,2.135127e+04,2.135127e+04
4,5,4.328908e+03,4.328908e+03
4,6,9.404275e+03,9.404275e+03
4,7,9.767979e+02,9.767979e+02
4,8,2.248682e+02,2.248682e+02
4,9,1.397487e+02,1.397487e+02
4,10,2.120680e+02,2.120680e+02
4,11,1.377120e+02,1.377120e+02
4,12,1.509091e+02,1.509091e+02
4,13,1.276929e+02,1.276929e+02
4,14,9.662651e+01,9.662651e+01
4,15,1.646110e+02,1.646110e+02
5,0,1.711577e+02,1.711577e+02
5,1,1.573717e+02,1.573717e+02
5,2,2.559982e+02,2.559982e+02
5,3,1.674768e+03,1.674768e+03
5,4,4.328908e+03,4.328908e+03
5,5,1.331812e+04,1.331812e+04
5,6,7.345467e+03,7.345467e+03
5,7,3.591508e+03,3.591508e+03
5,8,3.679297e+02,3.679297e+02
5,9,1.881194e+02,1.881194e+02
5,10,4.282033e+02,4.282033e+02
5,11,3.417447e+02,3.417447e+02
5,12,2.867331e+02,2.867331e+02
5,13,8.094963e+02,8.094963e+02
5,14,1.904309e+02,1.904309e+02
5,15,9.124846e+02,9.124846e+02
6,0,1.666780e+02,1.666780e+02
6,1,2.417619e+02,2.417619e+02
6,2,1.643599e+02,1.643599e+02
6,3,8.761468e+02,8.761468e+02
6,4,9.404275e+03,9.404275e+03
6,5,7.345467e+03,7.345467e+03
6,6,2.468096e+04,2.468096e+04
6,7,3.358230e+03,3.358230e+03
6,8,2.112477e+02,2.112477e+02
6,9,3.104561e+02,3.104561e+02
6,10,1.945113e+02,1.945113e+02
6,11,3.055274e+02,3.055274e+02
6,12,2.102795e+02,2.102795e+02
6,13,1.633641e+02,1.633641e+02
6,14,2.231353e+02,2.231353e+02
6,15,2.017361e+02,2.017361e+02
7,0,3.219991e+02,3.219991e+02
7,1,3.178324e+02,3.178324e+02
7,2,2.844084e+02,2.844084e+02
7,3,2.255460e+03,2.255460e+03
7,4,9.767979e+02,9.767979e+02
7,5,3.591508e+03,3.591508e+03
7,6,3.358230e+03,3.358230e+03
7,7,2.700580e+04,2.700580e+04
7,8,3.168409e+03,3.168409e+03
7,9,1.441037e+03,1.441037e+03
7,10,7.674363e+02,7.674363e+02
7,11,1.899057e+03,1.899057e+03
7,12,4.998284e+02,4.998284e+02
7,13,8.675404e+02,8.675404e+02
7,14,2.996809e+02,2.996809e+02
7,15,1.046813e+03,1.046813e+03
8,0,8.242920e+02,8.242920e+02
8,1,1.632612e+02,1.632612e+02
8,2,6.981985e+02,6.981985e+02
8,3,3.811592e+02,3.811592e+02
8,4,2.248682e+02,2.248682e+02
8,5,3.679297e+02,3.679297e+02
8,6,2.112477e+02,2.112477e+02
8,7,3.168409e+03,3.168409e+03
8,8,2.363623e+04,2.363623e+04
8,9,3.940932e+03,3.940932e+03
8,10,8.022208e+03,8.022208e+03
8,11,2.141583e+03,2.141583e+03
8,12,4.637716e+02,4.637716e+02
8,13,3.035686e+02,3.035686e+02
8,14,3.632972e+02,3.632972e+02
8,15,4.071177e+02,4.071177e+02
9,0,3.085952e+02,3.085952e+02
9,1,7.165505e+02,7.165505e+02
9,2,1.971875e+02,1.971875e+02
9,3,7.533374e+02,7.533374e+02
9,4,1.397487e+02,1.397487e+02
9,5,1.881194e+02,1.881194e+02
9,6,3.104561e+02,3.104561e+02
9,7,1.441037e+03,1.441037e+03
9,8,3.940932e+03,3.940932e+03
9,9,1.828977e+04,1.828977e+04
9,10,9.188128e+03,9.188128e+03
9,11,4.226712e+03,4.226712e+03
9,12,5.467914e+02,5.467914e+02
9,13,2.536162e+02,2.536162e+02
9,14,5.187930e+02,5.187930e+02
9,15,4.566961e+02,4.566961e+02
10,0,7.740886e+02,7.740886e+02
10,1,1.740149e+02,1.740149e+02
10,2,7.032314e+02,7.032314e+02
10,3,3.241497e+02,3.241497e+02
10,4,2.120680e+02,2.120680e+02
10,5,4.282033e+02,4.282033e+02
10,6,1.945113e+02,1.945113e+02
10,7,7.674363e+02,7.674363e+02
10,8,8.022208e+03,8.022208e+03
10,9,9.188128e+03,9.188128e+03
10,10,2.503861e+04,2.503861e+04
10,11,2.136844e+03,2.136844e+03
10,12,3.848215e+02,3.848215e+02
10,13,4.032259e+02,4.032259e+02
10,14,2.548368e+02,2.548368e+02
10,15,4.817716e+02,4.817716e+02
11,0,4.741784e+02,4.741784e+02
11,1,7.294582e+02,7.294582e+02
11,2,2.516770e+02,2.516770e+02
11,3,8.432851e+02,8.432851e+02
11,4,1.377120e+02,1.377120e+02
11,5,3.417447e+02,3.417447e+02
11,6,3.055274e+02,3.055274e+02
11,7,1.899057e+03,1.899057e+03
11,8,2.141583e+03,2.141583e+03
11,9,4.226712e+03,4.226712e+03
11,10,2.136844e+03,2.136844e+03
11,11,2.281422e+04,2.281422e+04
11,12,6.637409e+02,6.637409e+02
11,13,4.323343e+02,4.323343e+02
11,14,5.618598e+02,5.618598e+02
11,15,6.100907e+02,6.100907e+02
12,0,5.108945e+02,5.108945e+02
12,1,3.361408e+02,3.361408e+02
12,2,2.976752e+02,2.976752e+02
12,3,4.722436e+02,4.722436e+02
12,4,1.509091e+02,1.509091e+02
12,5,2.867331e+02,2.867331e+02
12,6,2.102795e+02,2.102795e+02
12,7,4.998284e+02,4.998284e+02
12,8,4.637716e+02,4.637716e+02
12,9,5.467914e+02,5.467914e+02
12,10,3.848215e+02,3.848215e+02
12,11,6.637409e+02,6.637409e+02
12,12,2.582278e+04,2.582278e+04
12,13,3.368480e+03,3.368480e+03
12,14,6.549590e+03,6.549590e+03
12,15,2.811843e+03,2.811843e+03
13,0,4.210613e+02,4.210613e+02
13,1,2.058771e+02,2.058771e+02
13,2,3.750983e+02,3.750983e+02
13,3,4.173724e+02,4.173724e+02
13,4,1.276929e+02,1.276929e+02
13,5,8.094963e+02,8.094963e+02
13,6,1.633641e+02,1.633641e+02
13,7,8.675404e+02,8.675404e+02
13,8,3.035686e+02,3.035686e+02
13,9,2.536162e+02,2.536162e+02
13,10,4.032259e+02,4.032259e+02
13,11,4.323343e+02,4.323343e+02
13,12,3.368480e+03,3.368480e+03
13,13,2.188498e+04,2.188498e+04
13,14,9.184071e+03,9.184071e+03
13,15,6.408062e+03,6.408062e+03
14,0,4.241485e+02,4.241485e+02
14,1,3.750369e+02,3.750369e+02
14,2,2.185209e+02,2.185209e+02
14,3,3.891674e+02,3.891674e+02
14,4,9.662651e+01,9.662651e+01
14,5,1.904309e+02,1.904309e+02
14,6,2.231353e+02,2.231353e+02
14,7,2.996809e+02,2.996809e+02
14,8,3.632972e+02,3.632972e+02
14,9,5.187930e+02,5.187930e+02
14,10,2.548368e+02,2.548368e+02
14,11,5.618598e+02,5.618598e+02
14,12,6.549590e+03,6.549590e+03
14,13,9.184071e+03,9.184071e+03
14,14,2.195115e+04,2.195115e+04
14,15,3.367225e+03,3.367225e+03
15,0,1.012659e+03,1.012659e+03
15,1,3.115622e+02,3.115622e+02
15,2,5.445467e+02,5.445467e+02
15,3,5.697579e+02,5.697579e+02
15,4,1.646110e+02,1.646110e+02
15,5,9.124846e+02,9.124846e+02
15,6,2.017361e+02,2.017361e+02
15,7,1.046813e+03,1.046813e+03
15,8,4.071177e+02,4.071177e+02
15,9,4.566961e+02,4.566961e+02
15,10,4.817716e+02,4.817716e+02
15,11,6.100907e+02,6.100907e+02
15,12,2.811843e+03,2.811843e+03
15,13,6.408062e+03,6.408062e+03
15,14,3.367225e+03,3.367225e+03
15,15,2.584934e+04,2.584934e+04
