method,rank,n_params,frob_err,fit_time_s,nnz_at_1em3,nnz_at_1em4
mSVD,2,16130,9.273070e-01,0.067,65964,136128
mSVD,3,24195,8.899489e-01,0.071,75756,157228
mSVD,4,32260,8.589410e-01,0.068,81912,172064
mSVD,8,64520,7.318593e-01,0.067,100014,202712
mSVD,16,129040,5.614000e-01,0.066,109966,215166
mSVD,32,258080,3.319377e-01,0.071,127368,231019
HOSVD,2-2,384,9.741336e-01,0.704,26888,82360
HOSVD,3-3,585,9.723716e-01,0.837,103052,289792
HOSVD,4-4,796,9.142189e-01,0.941,31568,107012
HOSVD,8-8,1800,8.143935e-01,1.225,101096,288376
HOSVD,16-16,5200,7.038142e-01,1.729,160626,481298
HOSVD,32-32,22944,4.548717e-01,2.059,210666,553906
CP,2,632,9.585572e-01,5.367,12772,40200
CP,3,948,9.365394e-01,1.706,20810,64716
CP,4,1264,9.137278e-01,1.533,28538,82590
CP,8,2528,8.404620e-01,4.499,64043,179673
CP,16,5056,7.281249e-01,35.414,97190,260795
CP,32,10112,6.171697e-01,65.992,122243,336912
INDSCAL,2,378,9.585572e-01,2.650,12762,39978
INDSCAL,3,567,9.361062e-01,2.387,21510,63893
INDSCAL,4,756,9.146166e-01,2.501,27182,84242
INDSCAL,8,1512,8.171466e-01,9.143,60592,175024
INDSCAL,16,3024,7.282948e-01,36.643,98086,264100
INDSCAL,32,6048,6.143569e-01,69.387,125957,350227
Waring,2,254,9.579610e-01,25.701,14472,44850
Waring,3,381,9.361070e-01,39.114,21518,63889
Waring,4,508,9.137288e-01,48.223,28544,82676
Waring,8,1016,8.413957e-01,98.651,65585,187390
Waring,16,2032,7.744405e-01,187.121,88753,381648
Waring,32,4064,6.939128e-01,381.718,154122,435375
