I,J,frob_lesser,frob_greater
0,0,1.293638e+05,1.293638e+05
0,1,3.437663e+05,3.437663e+05
1,0,3.437663e+05,3.437663e+05
1,1,2.879430e+06,2.879430e+06
1,2,1.661568e+05,1.661568e+05
2,1,1.661568e+05,1.661568e+05
2,2,4.981857e+06,4.981857e+06
2,3,6.492692e+05,6.492692e+05
3,2,6.492692e+05,6.492692e+05
3,3,2.081702e+05,2.081702e+05
3,4,6.492657e+05,6.492657e+05
4,3,6.492657e+05,6.492657e+05
4,4,4.069439e+06,4.069439e+06
4,5,4.691663e+05,4.691663e+05
5,4,4.691663e+05,4.691663e+05
5,5,4.069909e+06,4.069909e+06
5,6,4.941119e+05,4.941119e+05
6,5,4.941119e+05,4.941119e+05
6,6,1.328928e+05,1.328928e+05
6,7,4.806857e+02,4.806857e+02
7,6,4.806857e+02,4.806857e+02
7,7,1.293638e+05,1.293638e+05
7,8,3.437663e+05,3.437663e+05
8,7,3.437663e+05,3.437663e+05
8,8,2.879430e+06,2.879430e+06
8,9,1.661568e+05,1.661568e+05
9,8,1.661568e+05,1.661568e+05
9,9,4.981857e+06,4.981857e+06
9,10,6.492692e+05,6.492692e+05
10,9,6.492692e+05,6.492692e+05
10,10,2.081702e+05,2.081702e+05
10,11,6.492657e+05,6.492657e+05
11,10,6.492657e+05,6.492657e+05
11,11,4.069439e+06,4.069439e+06
11,12,4.593478e+05,4.593478e+05
12,11,4.593478e+05,4.593478e+05
12,12,4.067662e+06,4.067662e+06
12,13,1.350302e+05,1.350302e+05
13,12,1.350302e+05,1.350302e+05
13,13,9.513717e+03,9.513717e+03
13,14,2.966963e+04,2.966963e+04
14,13,2.966963e+04,2.966963e+04
14,14,1.293637e+05,1.293637e+05
