I,J,frob_lesser,frob_greater
0,0,2.258533e+05,2.258533e+05
0,1,1.814075e+06,1.814075e+06
1,0,1.814075e+06,1.814075e+06
1,1,1.604804e+07,1.604804e+07
1,2,6.813788e+05,6.813788e+05
2,1,6.813788e+05,6.813788e+05
2,2,2.493030e+07,2.493030e+07
2,3,3.158136e+06,3.158136e+06
3,2,3.158136e+06,3.158136e+06
3,3,7.709961e+05,7.709961e+05
3,4,3.161137e+06,3.161137e+06
4,3,3.161137e+06,3.161137e+06
4,4,1.926011e+07,1.926011e+07
4,5,2.451469e+06,2.451469e+06
5,4,2.451469e+06,2.451469e+06
5,5,2.111063e+07,2.111063e+07
5,6,2.510246e+06,2.510246e+06
6,5,2.510246e+06,2.510246e+06
6,6,3.215457e+05,3.215457e+05
6,7,6.096347e+02,6.096347e+02
7,6,6.096347e+02,6.096347e+02
7,7,2.258531e+05,2.258531e+05
7,8,1.814075e+06,1.814075e+06
8,7,1.814075e+06,1.814075e+06
8,8,1.604804e+07,1.604804e+07
8,9,6.813788e+05,6.813788e+05
9,8,6.813788e+05,6.813788e+05
9,9,2.493030e+07,2.493030e+07
9,10,3.158136e+06,3.158136e+06
10,9,3.158136e+06,3.158136e+06
10,10,7.709961e+05,7.709961e+05
10,11,3.165256e+06,3.165256e+06
11,10,3.165256e+06,3.165256e+06
11,11,1.930189e+07,1.930189e+07
11,12,2.410021e+06,2.410021e+06
12,11,2.410021e+06,2.410021e+06
12,12,2.090302e+07,2.090302e+07
12,13,5.576082e+05,5.576082e+05
13,12,5.576082e+05,5.576082e+05
13,13,1.839176e+04,1.839176e+04
13,14,1.267475e+04,1.267475e+04
14,13,1.267475e+04,1.267475e+04
14,14,5.857119e+04,5.857119e+04
