method,rank,n_params,frob_err,fit_time_s,nnz_at_1em3,nnz_at_1em4
mSVD,2,16130,9.109964e-01,0.075,22232,53416
mSVD,4,32260,8.125910e-01,0.075,19388,48240
mSVD,8,64520,5.677249e-01,0.067,14720,39456
mSVD,16,129040,1.824600e-01,0.077,27596,82698
HOSVD,2-2,384,9.132784e-01,0.889,2376,5474
HOSVD,4-4,796,8.174075e-01,1.159,4756,11006
HOSVD,8-8,1800,5.799229e-01,1.414,8812,20136
HOSVD,16-16,5200,2.271727e-01,1.890,16736,49994
CP,2,632,9.132784e-01,4.616,2376,5473
CP,4,1264,8.174074e-01,1.134,4567,10481
CP,8,2528,5.799223e-01,7.867,8764,20024
CP,16,5056,2.519267e-01,44.687,13942,31642
INDSCAL,2,378,9.132784e-01,1.361,2376,5474
INDSCAL,4,756,8.174074e-01,1.417,4752,10947
INDSCAL,8,1512,6.048228e-01,1.561,9299,21203
INDSCAL,16,3024,2.409720e-01,38.208,13838,30572
Waring,2,254,9.132784e-01,29.661,2376,5473
Waring,4,508,8.263803e-01,47.156,4669,11121
Waring,8,1016,6.048228e-01,94.124,9302,21109
Waring,16,2032,4.195803e-01,194.102,17012,45759
PCP,2,758,9.143992e-01,64.029,254489,776381
PCP,4,1516,9.304808e-01,122.365,331340,861627
PCP,8,3032,4.978817e-01,86.278,186144,810733
PCP,16,6064,2.364265e-01,135.380,159357,820328
