I,J,frob_lesser,frob_greater
0,0,1.038511e+04,1.038511e+04
0,1,1.185731e+04,1.185731e+04
0,2,2.142756e+03,2.142756e+03
0,3,3.789876e+03,3.789876e+03
0,4,7.767163e+03,7.767163e+03
0,5,2.875987e+03,2.875987e+03
0,6,5.720870e+02,5.720870e+02
0,7,6.690136e+02,6.690136e+02
0,8,1.532007e+03,1.532007e+03
0,9,1.047723e+03,1.047723e+03
0,10,5.112898e+02,5.112898e+02
0,11,8.227805e+02,8.227805e+02
0,12,1.390206e+03,1.390206e+03
0,13,3.985092e+02,3.985092e+02
0,14,6.739035e+02,6.739035e+02
1,0,1.185731e+04,1.185731e+04
1,1,1.879814e+05,1.879814e+05
1,2,1.117349e+04,1.117349e+04
1,3,3.078104e+04,3.078104e+04
1,4,5.523309e+04,5.523309e+04
1,5,1.305676e+04,1.305676e+04
1,6,2.642848e+03,2.642848e+03
1,7,1.513805e+03,1.513805e+03
1,8,8.230128e+03,8.230128e+03
1,9,4.211647e+03,4.211647e+03
1,10,2.461155e+03,2.461155e+03
1,11,4.498119e+03,4.498119e+03
1,12,5.344967e+03,5.344967e+03
1,13,1.344155e+03,1.344155e+03
1,14,1.092122e+03,1.092122e+03
2,0,2.142756e+03,2.142756e+03
2,1,1.117349e+04,1.117349e+04
2,2,1.982864e+05,1.982864e+05
2,3,1.780040e+04,1.780040e+04
2,4,5.003877e+04,5.003877e+04
2,5,7.861812e+04,7.861812e+04
2,6,1.485485e+04,1.485485e+04
2,7,9.299099e+02,9.299099e+02
2,8,4.211647e+03,4.211647e+03
2,9,1.006007e+04,1.006007e+04
2,10,2.800616e+03,2.800616e+03
2,11,3.254779e+03,3.254779e+03
2,12,7.566835e+03,7.566835e+03
2,13,1.542399e+03,1.542399e+03
2,14,1.154796e+03,1.154796e+03
3,0,3.789876e+03,3.789876e+03
3,1,3.078104e+04,3.078104e+04
3,2,1.780040e+04,1.780040e+04
3,3,1.432854e+04,1.432854e+04
3,4,1.755878e+04,1.755878e+04
3,5,3.074514e+04,3.074514e+04
3,6,3.871739e+03,3.871739e+03
3,7,5.168250e+02,5.168250e+02
3,8,2.461155e+03,2.461155e+03
3,9,2.800616e+03,2.800616e+03
3,10,1.033357e+03,1.033357e+03
3,11,1.488173e+03,1.488173e+03
3,12,2.538451e+03,2.538451e+03
3,13,3.674197e+02,3.674197e+02
3,14,3.828842e+02,3.828842e+02
4,0,7.767163e+03,7.767163e+03
4,1,5.523309e+04,5.523309e+04
4,2,5.003877e+04,5.003877e+04
4,3,1.755878e+04,1.755878e+04
4,4,5.902458e+04,5.902458e+04
4,5,1.747139e+04,1.747139e+04
4,6,3.676583e+03,3.676583e+03
4,7,7.856146e+02,7.856146e+02
4,8,4.499014e+03,4.499014e+03
4,9,3.204153e+03,3.204153e+03
4,10,1.516284e+03,1.516284e+03
4,11,3.485104e+03,3.485104e+03
4,12,3.672293e+03,3.672293e+03
4,13,5.483713e+02,5.483713e+02
4,14,3.942109e+02,3.942109e+02
5,0,2.875987e+03,2.875987e+03
5,1,1.305676e+04,1.305676e+04
5,2,7.861812e+04,7.861812e+04
5,3,3.074514e+04,3.074514e+04
5,4,1.747139e+04,1.747139e+04
5,5,1.927765e+05,1.927765e+05
5,6,1.463183e+04,1.463183e+04
5,7,1.388608e+03,1.388608e+03
5,8,5.554927e+03,5.554927e+03
5,9,7.572863e+03,7.572863e+03
5,10,2.552092e+03,2.552092e+03
5,11,3.113667e+03,3.113667e+03
5,12,8.722411e+03,8.722411e+03
5,13,1.424465e+03,1.424465e+03
5,14,7.038578e+02,7.038578e+02
6,0,5.720870e+02,5.720870e+02
6,1,2.642848e+03,2.642848e+03
6,2,1.485485e+04,1.485485e+04
6,3,3.871739e+03,3.871739e+03
6,4,3.676583e+03,3.676583e+03
6,5,1.463183e+04,1.463183e+04
6,6,1.190288e+04,1.190288e+04
6,7,6.917581e+02,6.917581e+02
6,8,1.443300e+03,1.443300e+03
6,9,1.936922e+03,1.936922e+03
6,10,6.013534e+02,6.013534e+02
6,11,6.899834e+02,6.899834e+02
6,12,1.875789e+03,1.875789e+03
6,13,3.729860e+02,3.729860e+02
6,14,7.477059e+02,7.477059e+02
7,0,6.690136e+02,6.690136e+02
7,1,1.513805e+03,1.513805e+03
7,2,9.299099e+02,9.299099e+02
7,3,5.168250e+02,5.168250e+02
7,4,7.856146e+02,7.856146e+02
7,5,1.388608e+03,1.388608e+03
7,6,6.917581e+02,6.917581e+02
7,7,1.038255e+04,1.038255e+04
7,8,1.184985e+04,1.184985e+04
7,9,2.069936e+03,2.069936e+03
7,10,3.788535e+03,3.788535e+03
7,11,7.870192e+03,7.870192e+03
7,12,2.819255e+03,2.819255e+03
7,13,3.028481e+02,3.028481e+02
7,14,4.687958e+02,4.687958e+02
8,0,1.532007e+03,1.532007e+03
8,1,8.230128e+03,8.230128e+03
8,2,4.211647e+03,4.211647e+03
8,3,2.461155e+03,2.461155e+03
8,4,4.499014e+03,4.499014e+03
8,5,5.554927e+03,5.554927e+03
8,6,1.443300e+03,1.443300e+03
8,7,1.184985e+04,1.184985e+04
8,8,1.879814e+05,1.879814e+05
8,9,1.117349e+04,1.117349e+04
8,10,3.078104e+04,3.078104e+04
8,11,5.606109e+04,5.606109e+04
8,12,1.265351e+04,1.265351e+04
8,13,1.330827e+03,1.330827e+03
8,14,2.207901e+03,2.207901e+03
9,0,1.047723e+03,1.047723e+03
9,1,4.211647e+03,4.211647e+03
9,2,1.006007e+04,1.006007e+04
9,3,2.800616e+03,2.800616e+03
9,4,3.204153e+03,3.204153e+03
9,5,7.572863e+03,7.572863e+03
9,6,1.936922e+03,1.936922e+03
9,7,2.069936e+03,2.069936e+03
9,8,1.117349e+04,1.117349e+04
9,9,1.982864e+05,1.982864e+05
9,10,1.780040e+04,1.780040e+04
9,11,5.004149e+04,5.004149e+04
9,12,7.799576e+04,7.799576e+04
9,13,4.433368e+03,4.433368e+03
9,14,2.309196e+03,2.309196e+03
10,0,5.112898e+02,5.112898e+02
10,1,2.461155e+03,2.461155e+03
10,2,2.800616e+03,2.800616e+03
10,3,1.033357e+03,1.033357e+03
10,4,1.516284e+03,1.516284e+03
10,5,2.552092e+03,2.552092e+03
10,6,6.013534e+02,6.013534e+02
10,7,3.788535e+03,3.788535e+03
10,8,3.078104e+04,3.078104e+04
10,9,1.780040e+04,1.780040e+04
10,10,1.432854e+04,1.432854e+04
10,11,1.764778e+04,1.764778e+04
10,12,3.098120e+04,3.098120e+04
10,13,1.337640e+03,1.337640e+03
10,14,8.658209e+02,8.658209e+02
11,0,8.227805e+02,8.227805e+02
11,1,4.498119e+03,4.498119e+03
11,2,3.254779e+03,3.254779e+03
11,3,1.488173e+03,1.488173e+03
11,4,3.485104e+03,3.485104e+03
11,5,3.113667e+03,3.113667e+03
11,6,6.899834e+02,6.899834e+02
11,7,7.870192e+03,7.870192e+03
11,8,5.606109e+04,5.606109e+04
11,9,5.004149e+04,5.004149e+04
11,10,1.764778e+04,1.764778e+04
11,11,5.992560e+04,5.992560e+04
11,12,1.731728e+04,1.731728e+04
11,13,1.665492e+03,1.665492e+03
11,14,7.775369e+02,7.775369e+02
12,0,1.390206e+03,1.390206e+03
12,1,5.344967e+03,5.344967e+03
12,2,7.566835e+03,7.566835e+03
12,3,2.538451e+03,2.538451e+03
12,4,3.672293e+03,3.672293e+03
12,5,8.722411e+03,8.722411e+03
12,6,1.875789e+03,1.875789e+03
12,7,2.819255e+03,2.819255e+03
12,8,1.265351e+04,1.265351e+04
12,9,7.799576e+04,7.799576e+04
12,10,3.098120e+04,3.098120e+04
12,11,1.731728e+04,1.731728e+04
12,12,1.940637e+05,1.940637e+05
12,13,4.760050e+03,4.760050e+03
12,14,1.497086e+03,1.497086e+03
13,0,3.985092e+02,3.985092e+02
13,1,1.344155e+03,1.344155e+03
13,2,1.542399e+03,1.542399e+03
13,3,3.674197e+02,3.674197e+02
13,4,5.483713e+02,5.483713e+02
13,5,1.424465e+03,1.424465e+03
13,6,3.729860e+02,3.729860e+02
13,7,3.028481e+02,3.028481e+02
13,8,1.330827e+03,1.330827e+03
13,9,4.433368e+03,4.433368e+03
13,10,1.337640e+03,1.337640e+03
13,11,1.665492e+03,1.665492e+03
13,12,4.760050e+03,4.760050e+03
13,13,1.415578e+03,1.415578e+03
13,14,1.749256e+03,1.749256e+03
14,0,6.739035e+02,6.739035e+02
14,1,1.092122e+03,1.092122e+03
14,2,1.154796e+03,1.154796e+03
14,3,3.828842e+02,3.828842e+02
14,4,3.942109e+02,3.942109e+02
14,5,7.038578e+02,7.038578e+02
14,6,7.477059e+02,7.477059e+02
14,7,4.687958e+02,4.687958e+02
14,8,2.207901e+03,2.207901e+03
14,9,2.309196e+03,2.309196e+03
14,10,8.658209e+02,8.658209e+02
14,11,7.775369e+02,7.775369e+02
14,12,1.497086e+03,1.497086e+03
14,13,1.749256e+03,1.749256e+03
14,14,9.202740e+03,9.202740e+03
