system,tag,kind,n_slabs,t_nm,J,uniform,dw_thz,A_c_m2,dT,N_q,G_W_m2K,converged,n_iter
mos2,L3,ballistic,3,3.6882000000000015,35.965167447813386,True,0.13333333333333333,8.647783272160001e-20,10.0,25,146971134.66161728,True,1
mos2,L6,ballistic,6,7.376400000000003,4.805549092785338,False,0.06130268199233716,8.647783272160001e-20,10.0,25,147283549.533781,True,1
mos2,L10,ballistic,10,12.294000000000006,4.805549092785181,False,0.06130268199233716,8.647783272160001e-20,10.0,25,147283549.5337762,True,1
mos2,L16,ballistic,16,19.670400000000008,4.8055490927849895,False,0.06130268199233716,8.647783272160001e-20,10.0,25,147283549.53377032,True,1
si,L3,ballistic,3,0.9470853815786622,1261.002137640774,True,0.125,1.294665716618031e-19,10.0,81,995953812.73521,True,1
si,L5,ballistic,5,1.578475635964437,1261.0021376407856,True,0.125,1.294665716618031e-19,10.0,81,995953812.735219,True,1
si,L8,ballistic,8,2.525561017543099,1261.0021376407972,True,0.125,1.294665716618031e-19,10.0,81,995953812.7352282,True,1
si,L3,scba,3,0.9470853815786622,1059.2622934507701,True,0.125,1.294665716618031e-19,10.0,81,836617392.118547,True,70
si,L5,scba,5,1.578475635964437,1028.1145660931493,True,0.125,1.294665716618031e-19,10.0,81,812016563.2270921,True,58
si,L8,scba,8,2.525561017543099,991.2559657224426,True,0.125,1.294665716618031e-19,10.0,81,782905221.9569108,True,52
mos2,L3q7,ballistic,3,3.6882000000000015,9.06084761841708,False,0.06130268199233716,8.647783272160001e-20,10.0,49,141685034.13687965,True,1
mos2,L3q9,ballistic,3,3.6882000000000015,14.759164590533139,False,0.06130268199233716,8.647783272160001e-20,10.0,81,139613684.8086311,True,1
si,L3q13,ballistic,3,0.9470853815786622,2648.9405602303304,True,0.125,1.294665716618031e-19,10.0,169,1002752845.954465,True,1
