dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
attr-l4,unknown,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
cutile-bench,unknown,,2026-07-31,,,,1,date,,,,,,,,,,,,,timeout,,,0.0,,,,analysis-only,no-solver-log
cutile-gate,unknown,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
cvM2,mos2_film,Mo+S,2026-08-10,2,6,1,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,59,0.008063,8.7765,,,,superseded,gband=1;cells_per_block=1
cvM2b,mos2_film,Mo+S,2026-08-10,2,6,1,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,30.0,,,,1,,converged,10,5.1148e-06,8.7761,,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,gband=1;cells_per_block=1
cvM2w16,mos2_film,Mo+S,2026-08-10,2,6,1,1,date+clamp,4001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,59,0.0077957,0.0565,,,,superseded,gband=1;cells_per_block=1
cvM4,mos2_film,Mo+S,2026-08-10,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,incomplete,59,0.0080777,34.9324,,,,superseded,gband=1
cvM4b,mos2_film,Mo+S,2026-08-10,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,oom+timeout,3,0.00042577,0.0,,,,superseded,gband=1;oom;timeout
cvM4c,mos2_film,Mo+S,2026-08-10,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,,,timeout,,,0.0,,,,analysis-only,no-solver-log
cvM4d,mos2_film,Mo+S,2026-08-10,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,timeout,28,2.7758e-05,0.0001,,,,superseded,gband=1;timeout
cvM4e,mos2_film,Mo+S,2026-08-10,2,12,2,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,48.0,,,,1,,converged,38,9.1636e-06,34.9322,,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,gband=1
cvM6,mos2_film,Mo+S,2026-08-10,2,18,3,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,72.0,,,,1,,incomplete,59,0.0081183,156.6983,,,phonon/docs/report_removed.md,superseded,gband=1
cvM6b,mos2_film,Mo+S,2026-08-11,2,18,3,1,date+clamp,6001,24.0,window,0.0,0.0,0.0,72.0,,,,1,,converged,52,9.452e-06,156.6983,,phonon/scripts/figures/r6_mos2_ladder.py;phonon/studies/_kappa_z_ladder.py,phonon/docs/mos2_kappa_z_ladder.md;phonon/docs/report_removed.md;phonon/docs/run_audit_2026-08.md;phonon/docs/sse_memory_scaling.md,keep-referenced,gband=1
cvSiA,si_film,Si,2026-08-10,3,2,1,2,date+clamp,2801,28.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,29,7.352,3.3543,,,,superseded,gband=2;cells_per_block=1
cvSiB,si_film,Si,2026-08-10,3,2,1,2,date+clamp,2801,28.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,39,0.15898,3.3544,,,,superseded,gband=2;cells_per_block=1
d11a-c64,sinw,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
d11a-f64,sinw,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
d11a3,sinw,H+Si,2026-07-31,3,45,1,1,date,81,18.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,3,0.71263,0.808,,,,superseded,gband=1;cells_per_block=1
filmq,si_film,Si,2026-07-31,3,2,1,1,date,121,15.0,window,0.0,0.0,0.0,10.0,,,,,,no-solver-log,,,0.0326,,phonon/scripts/figures/gpu_campaign_figs.py,phonon/docs/report_removed.md,keep-referenced,no-solver-log
fusedring,unknown,,2026-08-03,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
gemm-prec,unknown,,2026-07-31,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,,,,analysis-only,no-solver-log
gemm-prec2,unknown,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
gemm-tc,unknown,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
gl_a005,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.35306,0.2104,,,,superseded,gband=1;cells_per_block=1
gl_a010,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.38292,0.2104,,,,superseded,gband=1;cells_per_block=1
gl_combo,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,4001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.42575,0.0562,,,,superseded,gband=1;cells_per_block=1
gl_n2001,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,2001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.46312,0.0281,,,,superseded,gband=1;cells_per_block=1
gl_n4001,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,4001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.4539,0.0562,,,,superseded,gband=1;cells_per_block=1
gl_sample,mos2_film,Mo+S,2026-08-09,2,6,1,1,date+clamp,15001,16.0,window,0.0,0.0,0.0,30.0,,,,1,,incomplete,7,0.42199,0.2104,,,,superseded,gband=1;cells_per_block=1
kernprof,unknown,,2026-08-03,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
l16,cnt33,C,2026-07-31,16,12,1,1,date,41,55.0,window,0.0,0.0,0.0,10.0,,,,,,no-solver-log,,,0.0739,,phonon/studies/_run_cnt_campaign.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/cnt_observations.md;phonon/docs/pole_sector_roadmap.md,keep-referenced,no-solver-log
l16f-g1t,cnt33,C,2026-07-31,16,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,66,0.0009901,0.0016,,phonon/scripts/figures/_extract_gband_ladder.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l16f-g1t-361,cnt33,C,2026-08-03,16,12,1,1,env,361,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,96,0.00097227,0.0035,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l16f-g1t-cal,cnt33,C,2026-07-31,16,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,7,0.34664,0.0015,,,,superseded,gband=1;cells_per_block=1
l16f-g3,cnt33,C,2026-07-31,16,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,97,0.00096263,0.0017,,phonon/scripts/figures/_extract_gband_ladder.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l16f-g3-361,cnt33,C,2026-08-03,16,12,1,3,env,361,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,157,0.0009824,0.0036,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l16f-g3-361smoke,cnt33,,2026-08-03,,,,3,env,361,,,,,,,,,,,,crash+timeout,,,0.0,,,,analysis-only,no-solver-log
l16f-g3-361smoke2,cnt33,C,2026-08-03,16,12,1,3,env,361,55.0,window,0.0,0.0,0.0,10.0,,,,1,,incomplete,2,8.3116,0.0032,,,,superseded,cells_per_block=1
l16f-g3-cal,cnt33,C,2026-07-31,16,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,crash+timeout,7,0.23678,0.0015,,,,superseded,cells_per_block=1;crash;timeout
l24,cnt33,C,2026-07-31,24,12,1,,unknown,41,55.0,window,0.0,0.0,0.0,10.0,,,,,,no-log,,,0.1128,,,phonon/docs/pole_sector_roadmap.md,analysis-only,no-solver-log
l24f-g1t,cnt33,C,2026-07-31,24,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,70,0.00098296,0.0023,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l24f-g3,cnt33,C,2026-07-31,24,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,96,0.00099703,0.0024,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l32,cnt33,C,2026-07-31,32,12,1,1,date,41,55.0,window,0.0,0.0,0.0,10.0,,,,,,no-solver-log,,,0.1518,,,phonon/docs/cnt_observations.md;phonon/docs/pole_sector_roadmap.md,analysis-only,no-solver-log
l32f-g1t,cnt33,C,2026-07-31,32,12,1,1,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,70,0.00098695,0.003,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1
l32f-g3,cnt33,C,2026-07-31,32,12,1,3,env,161,55.0,window,0.0,0.0,0.0,10.0,,,,1,,converged,176,0.00024494,0.0033,,phonon/scripts/figures/_extract_gband_ladder.py,phonon/docs/cnt_campaign_2026-08.md;phonon/docs/run_audit_2026-08.md,keep-referenced,cells_per_block=1
l4-c64,cnt33,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,,,analysis-only,no-solver-log
l4bench,cnt33,,2026-07-31,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,,phonon/scripts/figures/gpu_campaign_figs.py,phonon/docs/report_removed.md,keep-referenced,no-solver-log
