dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
arm-dof,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.1008,0.0,,phonon/docs/conserving_long_range_tail.md,no-log-outputs,no-solver-log
asr_compare,unknown,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,phonon/docs/lab_notebook_archive.md,analysis-only,no-solver-log
ballistic_curves,unknown,,2026-06-11,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0001,0.0,phonon/studies/ballistic.py,phonon/docs/lab_notebook_archive.md,keep-referenced,no-solver-log
bench-decomp,unknown,,2026-07-12,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,phonon/scripts/figures/decomposed_sse_cost.py,PLOTS.md;phonon/docs/report_removed.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
bench-legacy,unknown,,2026-07-12,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,phonon/scripts/figures/decomposed_sse_cost.py,PLOTS.md;phonon/docs/report_removed.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
c16-ball/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/cnt_blocking_kk.py;phonon/studies/_cnt_campaign_report.py;phonon/studies/_run_cnt_campaign.py,phonon/docs/cnt_campaign_2026-08.md,keep-referenced,no-solver-log
c16-half/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/cnt_blocking_kk.py;phonon/studies/_cnt_campaign_report.py;phonon/studies/_cnt_reblock_acceleration.py;phonon/studies/_run_cnt_campaign.py,phonon/docs/cnt_campaign_2026-08.md,keep-referenced,no-solver-log
c16-kk/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/cnt_blocking_kk.py;phonon/studies/_cnt_campaign_report.py;phonon/studies/_run_cnt_campaign.py,phonon/docs/cnt_campaign_2026-08.md,keep-referenced,no-solver-log
c16-mx-broyden/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/studies/_run_cnt_campaign.py,,keep-referenced,no-solver-log
c16x2-4ring-final,cnt33,C,2026-08-29,8,24,2,3,env,161,55.0,window,0.0,0.0,0.0,40.0,,,,1,,converged,9,0.00016716,2.3886,2.3879,,phonon/docs/adaptive_collision_followup.md,keep-current,
c16x2-4ring-probe,cnt33,C,2026-08-29,8,24,2,3,env,161,55.0,window,0.0,0.0,0.0,40.0,,,,1,,converged,2,0.00048677,2.3886,2.3879,,,keep-current,
c16x2-6ring-control,cnt33,C,2026-08-29,8,24,2,3,env,161,55.0,window,0.0,0.0,0.0,40.0,,,,1,,converged,9,0.00016716,2.3886,2.3879,,phonon/docs/adaptive_collision_followup.md,keep-current,
c16x2-nu/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/studies/_nonuniform_production_review.py;phonon/studies/_prepare_nonuniform_production.py,,keep-referenced,no-solver-log
c16x2-nu-safe/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/studies/_nonuniform_production_review.py;phonon/studies/_prepare_nonuniform_production.py,,keep-referenced,no-solver-log
c16x2h/out,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/cnt_blocking_kk.py;phonon/studies/_cnt_reblock_acceleration.py;phonon/studies/_mixed_structure_review.py;phonon/studies/_nonuniform_production_review.py;phonon/studies/_prepare_nonuniform_production.py,phonon/docs/adaptive_collision_followup.md;phonon/docs/cnt_campaign_2026-08.md;phonon/docs/cnt_reblock_acceleration.md,keep-referenced,no-solver-log
cnt-L10-gband2,cnt33,C,2026-07-16,10,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,incomplete,118,8097.0,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py;tests/quatrex/phonon/test_audit_runs.py,,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-L3-eta0,cnt33,,2026-07-16,3,,,1,date,181,,,,0.0,,,,,2.6,1,,converged,209,0.00099495,0.0001,0.0,,phonon/docs/cnt_observations.md;phonon/docs/run_audit_2026-08.md,superseded,gband=1;cells_per_block=unknown;extent-truncated=2.6%
cnt-L3-eta0-mask,cnt33,,2026-07-17,3,,,1,date,181,,,,0.0,,,,,13.0,1,,converged,52,0.00088637,0.0,0.0,,phonon/docs/cnt_observations.md;phonon/docs/pole_sector_state_and_next_steps.md;phonon/docs/run_audit_2026-08.md,superseded,gband=1;cells_per_block=unknown;extent-truncated=13%
cnt-L3-eta0-scat,cnt33,,2026-07-16,3,,,1,date,181,,,,0.0,,,,,2.6,1,,converged,304,1.9772e-05,0.0001,0.0,,phonon/docs/cnt_observations.md;phonon/docs/run_audit_2026-08.md,superseded,gband=1;cells_per_block=unknown;extent-truncated=2.6%
cnt-L3-gband2,cnt33,,2026-07-16,3,,,2,name,181,,,,1e-12,,,,,2.6,1,,converged,209,0.00099495,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py,phonon/docs/cnt_observations.md;phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=unknown;extent-truncated=2.6%
cnt-L4-g2rre,cnt33,C,2026-07-16,4,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,crash,449,0.028664,0.0002,0.0,phonon/scripts/figures/gband_campaign_figs.py,,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%;crash
cnt-L4-g2rre-b02,cnt33,C,2026-07-16,4,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,incomplete,449,0.026606,0.0002,0.0,phonon/scripts/figures/gband_campaign_figs.py,,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-L4-g2scat,cnt33,C,2026-07-16,4,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,incomplete,449,0.0010611,0.0002,0.0,phonon/scripts/figures/gband_campaign_figs.py,,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-L4-gband2,cnt33,C,2026-07-16,4,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,converged,311,0.00098081,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py;tests/quatrex/phonon/test_audit_runs.py,phonon/docs/pole_sector_state_and_next_steps.md;phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-L4-nugrid,cnt33,,2026-07-19,,,,1,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cnt-L5-gband2,cnt33,C,2026-07-16,5,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,converged+crash,304,0.00098811,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%;crash
cnt-L56-chain,cnt33,C,2026-07-16,5,12,1,1,date,181,55.0,,,1e-12,,10.0,,,2.6,2,,converged,239,0.00095302,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=1;cells_per_block=1;extent-truncated=2.6%
cnt-L7-gband2,cnt33,C,2026-07-16,7,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,converged,313,0.00098758,0.0001,0.0,phonon/scripts/figures/gband_campaign_figs.py,phonon/docs/run_audit_2026-08.md,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-L8-gband2,cnt33,C,2026-07-16,8,12,1,2,name,181,55.0,,,1e-12,,10.0,,,2.6,1,,incomplete,62,4004.0,0.0,0.0,phonon/scripts/figures/gband_campaign_figs.py,,keep-referenced,gband=2;cells_per_block=1;extent-truncated=2.6%
cnt-cmnull,cnt33,C,2026-08-05,4,12,1,3,date,181,55.0,window,,1e-12,,10.0,,1,20.9,2,,incomplete,2,0.071329,0.0008,0.0,,phonon/docs/run_audit_2026-08.md;phonon/docs/untested_paths.md,superseded,cells_per_block=1;extent-truncated=20.9%
cnt-cmnull2,cnt33,C,2026-08-05,4,12,1,3,date,181,55.0,window,,1e-12,,10.0,,1,20.9,2,,incomplete,2,1.707,0.0,0.0,,phonon/docs/run_audit_2026-08.md;phonon/docs/untested_paths.md,superseded,cells_per_block=1;extent-truncated=20.9%
cnt-nescan-g3,unknown,,2026-08-08,,,,3,name,,,,,,,,,,,,,converged,201,0.022301,0.0028,0.0,,phonon/docs/production_beds.md;phonon/docs/run_audit_2026-08.md,superseded,cells_per_block=unknown
cnt-sparse-ring,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cnt-sparse-ring-v2,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,,analysis-only,no-solver-log
cnt-sparse-ring-v3,unknown,,2026-08-28,,,,3,date,,,,,,,,,,,,,no-solver-log,,,0.0,0.0,,phonon/docs/phph_acceleration_review.md,analysis-only,no-solver-log
cnt33_converge/checkpoints,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,no-log-outputs,no-solver-log
cnt33_converge/plots,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0004,0.0,,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,analysis-only,no-solver-log
cnt33_cutoff/checkpoints,cnt33,,2026-06-11,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0001,0.0,phonon/scripts/figures/cnt33_cutoff.py;phonon/scripts/verify/cnt33_cutoff_sweep.py,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
