dir,system,species,mtime,n_blocks,atoms_per_block,cells_per_block,g_band_eff,g_band_src,ne,wmax,fgrid,aux_dw,eta,eta_ir_floor,interaction_cutoff,lowmask,cmsub,kk_percent,arms,ballistic,outcome,iterations,last_residual,size_gb,bulk_gb,read_by_code,mentioned_in_docs,verdict,reasons
cnt33_cutoff,cnt33,,2026-07-06,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,phonon/scripts/figures/cnt33_cutoff.py;phonon/scripts/verify/cnt33_cutoff_sweep.py,phonon/docs/lab_notebook_archive.md;phonon/docs/run_audit_2026-08.md,keep-referenced,no-solver-log
d5_conv_test/checkpoints,sinw,,2026-05-19,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_conv_test/plots,sinw,,2026-05-19,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0003,0.0,,,analysis-only,no-solver-log
d5_full/checkpoints,sinw,,2026-05-19,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0002,0.0,,,no-log-outputs,no-solver-log
d5_full/plots,sinw,,2026-05-19,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0011,0.0,,,analysis-only,no-solver-log
d5_legacy/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
d5_new/checkpoints,sinw,,2026-05-22,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,no-log-outputs,no-solver-log
d5_new/plots,sinw,,2026-05-22,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0008,0.0,,,analysis-only,no-solver-log
d5a_proper_fmax/checkpoints,sinw,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
diag_d5a/checkpoints,unknown,,,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0,0.0,,,analysis-only,no-solver-log
prod/cnt33_eta0,unknown,,2026-06-22,,,,,unknown,,,,,,,,,,,,,no-log,,,0.0024,0.0,phonon/scripts/figures/cnt33_finite_eta_bias.py;phonon/scripts/figures/cnt33_gq_length.py;phonon/scripts/figures/cnt33_observables_atlas.py;phonon/scripts/figures/conservation_figs.py;phonon/scripts/figures/decomposed_sse_conservation.py;phonon/scripts/figures/eta0_physics.py;phonon/scripts/figures/phph_scaling_figs.py;phonon/scripts/figures/retired/eta0_knob_ablation.py;phonon/scripts/figures/srtio3_eta0_transport.py;phonon/scripts/figures/transmission_physicality.py;phonon/scripts/verify/local_vs_mw_current.py;phonon/studies/_bubble_positivity.py;phonon/studies/_run_d5a_fixed_export.py;phonon/studies/engine/run.py;phonon/studies/pipeline.py;phonon/studies/transport.py;slides/make_slide_assets.py;slides/plot_cnt_prod.py;slides/plot_d5a_variants_prod.py;slides/plot_srtio3_transport.py;src/qttools/comm/comm.py,PLOTS.md;phonon/docs/lab_notebook_archive.md;phonon/docs/pole_sector_observations.md;phonon/docs/run_audit_2026-08.md;phonon/docs/solver_audit.md,keep-referenced,no-solver-log
